account,name,keywords
@sortee@ecoevo.social,SORTEE (Society for Open Reliable and Transparent ecology and Evolutionary biology),open_science open_research reproducibility meta_science open_educational_resources community open_access open_data open_source preprints preregistration biology registered_reports reproducibility statistics transparency
@zuphilip@openbiblio.social,Philipp Zumstein,open_access open_science open_source reproducibility
@fbartos@mastodon.social,František Bartoš,meta-analysis publication_bias replicability bayesian
@EJWagenmakers@mastodon.social,Eric-Jan Wagenmakers,open_science bayesian JASP
@maxma1er@mastodon.social,Maximilian Maier,meta-analysis publication_bias replicability
@MolecularXtal@mastodon.social,Janine George,open_science open_source open_data computational_chemistry computational_materials_science
@jschneider@scicomm.xyz,Jürgen Schneider,open_science open_data research_data_management reproducibility open_science_grassroots_initiative
@PatrickOnghena@mastodon.nl,Patrick Onghena,replicability meta-analysis single-case_experimental_designs randomization open_science
@BelRepro@mastodon-belgium.be,Belgian Reproducibility Network,reproducibility replicability open_science FAIR_data international_networks
@MarkRubin@fediscience.org,Mark Rubin,open_science metascience philosophy_of_science
@meliimming@akademienl.social,Melanie Imming,open_science FAIR_data digital_cultural_heritage impact
@Flor__Mu@qoto.org,Floriane Muller,open_access open_data open_science
@mostlyphysics@fediscience.org,Toma Susi,open_access open_science open_software computational_methods policy
@enroweb@qoto.org,Antoine Blanchard,france open_data research_data FAIR_data STS research_on_resarch metascience
@datacite@openbiblio.social,DataCite,open_science open_access open_data research_data_management FAIR_data metadata research scholarly_communication scicomm reproducibility data_science open_source
@paul4kant@scicomm.xyz,Paul Vierkant,open_science open_access open_data research_data_management FAIR_data metadata research scholarly_communication scicomm reproducibility data_science open_source
@kuf@mastodon.social,Konrad Förstner,opens_science nfdi bioinformatics omics_data FAIR text_mining life_sciences knowledge_graphs podcast
@h2@sciences.social,Hanjo Hamann,open_access digitalization_of_law legal_linguistics
@jeremiahpslewis@econtwitter.net,Jeremiah Lewis,open_science open_data replicability reproducibility
@MaksBgm@hcommons.social,Max Bergmann,open_access OA_books open_publishing
@joeroe@archaeo.social,Joe Roe,open_science open_data
@lgatto@fosstodon.org,Laurent Gatto,open_science open_research open_source replicability reproducibility open_educational_resources inclusive_research open_data
@collend@mamot.fr,Christine Ollendorff,open_science scholcomm academic_library science_ouverte ESR 
@LynneeLue@hcommons.social,Lynnee Argabright,open_science open_data research_data_management data_ethics libraries FAIR_data
@yannbd@fediscience.org,Yann Benétreau-Dupin,open_science open_access_publishing meta-science
@CorinaLogan,Corina Logan,open_research ethical_publishing anti-racist/anti-sexist_(+_more)_infrastructure registered_reports reproducible_workflows Bullied_Into—Bad_Science ManyIndividuals animal_cognition
@khinsen@scholar.social,Konrad Hinsen,open_science open_computation computer_aided_research computational_media digital_scientific_notations reproducibility
@JoseEdGomes@mastodon.social,José Eduardo Gomes,open_science reproducibility cell_biology developmental_biology cancer_biology
@OtwartaNauka@mstdn.social,Open Science Poland,open_science otwarta_nauka open_access open_research open_data
@owlyph@social.coop,Joshua Chalifour,open_access open_scholarship open_science
@drb@scholar.social,Devin Berg,preprints preprint_servers engineering open_access open_engineering
@essepuntato@scholar.social,Silvio Peroni,open_infrastructures semantic_publishing computer_science digital_humanities science_of_science
@niamhpage@mastodon.ie,Niamh Tumelty,open_research community_building open_access open_data
@petersuber@fediscience.org,Peter Suber,open_access open_science scholarly_communication
@balazsaczel@scicomm.xyz,Balazs Aczel,
@cruwell,Sophia Crüwell,metascience metaresearch philosophy reproducibility open_badges
@kevinmoerman@fosstodon.org,Kevin M Moerman,open_source open_hardware pre-prints computational_(bio)mechanics design_optimisation 3D_printing
@kaitclark@mastodon.social,Kait Clark,open_science pedagogy_and_open_science prevalence_of_responsible_research_practices cognitive_neuroscience
@heimstaedt@chaos.social,Maximilian Heimstädt,open_science open_educational_resources open_peer_review preprints open_data
@jesper@tech.lgbt,Jesper Dramsch,open_science open_source preprints reproducibility Software_Sustainability_Institute_fellow machine_learning applied_physics
@ccamara@scholar.social,Carlos Cámara-Menoyo,open_science open_data rse open research
@sanli@scholar.social,Sanli Faez,open_science open_hardware open_innovation open_leadership
@jaireeo@mastodon.soical,Jere Odell,open_access open_educational_resources open_access_policies scholarly_communication Wikipedia Wikidata
@dylanvanassche@fosstodon.org,Dylan Van Assche,open_science open_data open_access preprints reproducibility
@christof@fedihum.org,Christof Schöch,open_science open_access reproducibility digital_humanities computational_literary_studies
@chartgerink@akademienl.social,Chris Hartgerink,open_science publishing open_infrastructure meta_research information_studies business_development research_ethics
@olgakepinska,Olga Kepinska,multilingualism individual_differences language_typology neuroimaging preregistration
@saraemilyburke@fosstodon.org,Sara Emily Burke,social_psychology prejudice statistics open_science
@jespinosa,Julia Espinosa,open_science reproducibility big_team_science open_access
@giladfeldman,Gilad Feldman,
@jeremyeberle@scicomm.xyz,Jeremy Eberle,clinical_psychology emotional_disorders mechanisms_of_change open_science methodology measurement
@Bawan@akademienl.social,Bawan Amin,open_science open_access preprints
@MarieKmita@genomic.social,Marie Kmita,dev_bio women_in_stem evo_devo stop_toxic_PIs
@emrinke@mas.to,Eike Mark Rinke,open_science replicability reproducibility open_educational_resources open_data
@maehr@mastodon.social,Moritz Mähr,open_data open_access open_source
@Lambo@scholar.social,Lambert Heller,NFDI open_educational_resources open_textbooks book_sprints hackathons
@psforscher,Patrick S. Forscher,open_science big_team_science behavioral_science global_development
@mariacruz@akademienl.social,Maria Cruz,open_science open_data fair_data research_software community scholarly_communication
@hansijzerman@sciences.social,Hans Rocha IJzerman,open_science big-team_science registered_reports generalizability PSA CREP
@niketagrawal@fosstodon.org,Niket Agrawal,free_and_open_source_software_enthusiast R JAMOVI Python Psychopy OSF JASP jsPscyh statistics_programming psychophysical_experiments 
@OmidVEbrahimi@mastodon.social,Omid Vakili Ebrahimi,open_science open_code open_materials mental_health
@ronnyroewert@bildung.social,Ronny Röwert,open_science open_educational_resources metascience science_communication
@Sam_D_Parsons@mastodon.world,Sam Parsons,psychometrics brain_imaging open_scholarship open_science science_education open_educational_resources
@hildabast@mastodon.online,Hilda Bastian,open_science metascience metaresearch reproducibility scicomm
@ianhussey@scicomm.xyz,Ian Hussey,open_science metascience measurement replicability psychology 
@Lou_Kulke@mastodon.world,Louisa Kulke,open_science preregistrations replicability multi-lab-projects psychology neuroscience
@danielskatz@fosstodon.org,Daniel S. Katz,open_source research_software policy rse open_peer_review scholarly_communication
@rgaiacs@social.cologne,Raniere Silva,open_source open_data open_access rse replicability reproducibility open_educational_resources
@donny@fairpoints.social,Donny Winston,FAIR open_science open_source open_data
@JeffreyRStevens@fediscience.org,Jeff Stevens,open_science big_team_science reproducibility
@enigmaticocean@scholar.social,Daniel Bangert,open_science open_research open_access FAIR_data research_policy
@ansophiliert@bildung.social,Anne-Sophie Waag,open_educational_resources open_educational_practices
@HLoenneker@home.social,Hannah Loenneker,metaresearch reproducibility open_access open_data
@vanessa@scicomm.xyz,Vanessa Fairhurst,open_science prereview preprints open_peer_review diversity equity_and_inclusion
@glyg@fosstodon.org,Guillaume Gay,open_science open_source open_data metadata FAIR RDM bioimaging france_bioimaging
@hardyschwamm@mastodon.ie,Hardy Schwamm,open_scholarship open_access
@crossref@mastadon.social,Crossref,open_science scicomm scholcomm open_metadata research_integrity open_research open_infrastructure
@gin@scicomm.xyz,Ginny Hendricks,open_science scicomm scholcomm open_metadata research_integrity open_research open_infrastructure community
@CharlesO@mas.to,Charles Oppenheim,
@GuidoScherp@openbiblio.social,Guido Scherp, open_science open_infrastructure academic_library support education nudging
@antikemagie@archaeo.social,Kirsten D. Dzwiza,open_science archaeology ancient_magic egyptology public_outreach
@drAChiarelli@scicomm.xyz,Andrea Chiarelli,openscience scholcomm publishing integrity reproducibility scicomms
@da5nsy@fosstodon.org,Danny Garside,open_science publishing neuroscience open_data
@lmu_osc@scicomm.xyz,LMU Open Science Center,open_scholarship open_science open_research reproducibility meta_science meta_research open_educational_resources
@oberman@mastodon.social,Hanne Oberman, FAIR_data FAIR_open_source_software FOSS open_educational_resources secondary_data_analysis
@neuropelletier@mastodon.online,Gabriel Pelletier,open_science neuroscience
@Centre_Mersenne@mastodon.online,Centre Mersenne,open_access
@janneseppanen@mas.to,Janne-Tuomas Seppänen,open_peer_review research_evaluation open_science
@brembs@mastodon.social,Björn Brembs,neuroscience open_science
@pacobib@mastodon.cloud,Paco Martínez,
@veit@mastodon.social,Veit Schiele,open_science open_data replicability reproducibility open_educational_resources open_infrastructure privacy
@aalpha@sigmoid.social,Alberto Antonietti,neuroscience open_science metaresearch replicability reproducibility open_educational_resources open_data
@julsraemy@hcommons.social,Julien A. Raemy,open_data open_metadata linked_open_data digital_humanities
@TomRatz@ecoevo.social,Tom Ratz,
@dororeis,Dorota Reis,open_science meta_science psychology
@openscience@mastodon.social,Open Science,
@heatherstaines@masto.ai,Heather Staines,open_infrastructure open_annotation open_access digital_humanities
@thofel@fediscience.org,Thomas Feliciani,computational_social_science peer_review science_evaluation
@TimVantilborgh@scicomm.xyz,Tim Vantilborgh,psychology data_science reproducibility io_psychology
@RGrunblatt@sciences.re,Rémy Grünblatt, open_science open_code computer_science open_educational_resources
@juliafstrand@mastodon.online,Julia Strand,open_science measurement error_prevention
@uwuttke@fedihum.org,Ulrike Wuttke,open_science digital_humanities science_communication scholary_communication research_data_management
@jscaux@scipost.social,Jean-Sébastien Caux,theoretical_physicist founder_and_lead_developer_of_SciPost
@cconrymurray@fediscience.org,Clare Conry-Murray,moral_development psychology_of_culture_and_gender open_science meta_psychology
@profsimons@mas.to,Daniel Simons,open_science replication reproducibility attention perception memory psychology
@tullney@fosstodon.org,Marco Tullney,open_access open_science publishing scholarly_communication
@nikagoldring21@troet.cafe,Annika Mangold-Döring,open_science research_software replicability reproducibility ecotoxicology ecological_modeling effect_modeling TKTD GUTS DEB
@forschungsdateninfo@openbiblio.social,forschungsdaten.info,research_data research_data_management open_science
@mhoffmann@social.anoxinon.de,Martha Hoffmann,open_science energy_system_analysis just_transition energy_transition
@LiviaSimela@mstdn.science,Olivia Kowalczyk, open_science open_research reproducibility neuroscience neuroimaging riot_science_club
@SarahHLib@mastodonapp.uk,Library Cactus,
@joerglohrer@kirche.social, Jörg Lohrer, open_science open_educational_resources open_theology open_data open_access
